tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
4,1,pessoal comam neste mc donalds extremamente sujo manhã local pegar queijo quente rapaz único uniforme diferente acredito gerente verificando fita impressora ver ali parada 10 minutos esperando lanche sendo havia ninguém frente cesto pães pegou mão suja quiser higienizou fundo haviam duas funcionárias mechendo especie tanque pia lado direito lavaram mãos passaram alcool mecher paes saco maior funcionária varria salão daquela forma levantava nevoa poeira zelo algum nunca piso nesse lugar sai joguei lanche lixo tomei suco,,56,27,9,1,0,688,0,0,0,0,0,0,0
7,5,poucas franquias atende produto temperatura ideal atendimento bom,,3,0,0,0,0,10,0,0,0,0,0,0,1
7,2,local extremamente abafado mal cheiroso esfumaçado mesas sujas pedidos feito pressas má vontade lamentável,,48,15,64,2,0,21,2,0,0,0,10,0,0
14,5,null,,6,2,0,0,0,94,0,0,0,0,0,1,0
14,3,null,,8,39,2,0,0,285,1,0,0,0,0,1,0
14,4,null,,38,439,110,7,0,5029,0,0,1,0,6,18,0
30,5,null,,16,272,2,0,0,30,0,0,0,0,2,2,0
60,1,horrível sempre demoram usam luvas montar sanduíche deram lanche outra pessoa segunda vez adianta mesma coisa,,10,2,0,0,0,4,1,0,0,0,0,1,0
60,1,extremamente mal tratada segurança gritou pra ir pro final fila bebê colo dia 030824 nunca piso nesse lugar,,2,0,2,0,0,3,0,0,0,0,0,0,1
90,1,atendimento péssimo erraram pedido 2 vezes refrigerante gás,,2,5,0,0,0,9,0,0,0,0,0,0,1
90,2,lugar porco banheiro imundo balconista valida pedido q pronto pior q ja visitei,,9,0,0,0,0,32,0,0,1,0,0,0,0
120,1,atendimento péssimo,,1,0,0,0,0,6,0,0,0,0,0,0,1
150,1,muita falta respeito clientes deixar banheiro fechado,,28,5,6,0,0,20,2,0,1,0,0,2,0
150,1,null,,716,54,5925,288,0,9058,74,0,19,0,183,173,0
150,5,lugar estratégico limpo arejado preço acessível,,58,0,2,0,0,170,1,0,0,0,0,1,0
180,5,local organizadoatendimento toppedido consegue fazer totem facilita muitonão precisa daquele negócio ter fica falandovocê vai lá monta pedido sozinhosem conta sempre algum funcionário auxiliarbanheiros vi muitos compraramvai lá usapor encima metrôacho fica difícil conseguir manter limpinho pois meio vira público,,1,0,0,0,0,7,0,0,0,0,0,0,0
180,5,null,,4,43,3,0,0,417,0,0,0,0,1,0,0
180,5,null,,37,18,0,0,0,14,1,0,0,0,0,9,0
180,2,porquê posso fazer pedido caixa atendente falou atendimento caixa toten,,36,20,8,0,0,192,0,0,0,0,0,0,0
180,3,null,,10,214,0,0,0,36,0,0,0,0,0,1,0
180,5,null,,12,14,2,1,0,14,0,0,0,0,0,0,0
210,1,gostei atendimento higienização ambiente copo sujo banheiro bem sujo xixi chão,,5,2,1,0,0,37,0,0,0,0,0,0,1
210,5,boa,,31,6,0,0,0,140,0,0,0,0,0,0,0
210,1,péssimo atendimento pedidos todos errados,,43,15,0,0,0,1210,0,0,0,0,1,1,0
240,1,null,,6,35,0,0,0,14,0,0,0,0,0,14,0
240,5,null,,18,22,2760,53,0,393,1,0,0,0,0,1,0
240,5,null,,18,49,75,1,0,356,0,0,0,0,0,0,0
240,5,sempre consigo matar fome kkkk,,616,73,3279,30,0,666,0,0,1,0,1,28,0
240,4,null,,22,34,3,0,1,158,0,0,0,0,4,1,0
240,5,lugar prático ambiente maravilhoso,,21,27,10,0,0,718,0,0,0,0,0,7,0
240,5,null,,11,71,1,0,0,269,3,0,0,0,0,1,0
240,4,null,,0,2,0,0,0,6,2,0,0,0,0,0,1
240,5,bom,,9,20,1,0,0,32,0,0,0,0,0,0,1
270,5,null,,19,43,3,0,0,271,0,0,0,0,0,1,0
270,5,null,,2,3,0,0,0,6,0,0,0,0,0,0,1
270,5,null,,11,13,0,0,0,68,0,0,0,0,0,1,0
270,5,fica lado estação metrô bento então bem cheio hora almoço ambiente pequeno confortável espaço tanto sozinho acompanhada,,7,15,0,0,0,119,0,0,0,0,1,1,0
270,3,banheiro precário pouco espaço,,1,1,0,0,0,3,0,0,0,0,0,0,1
270,5,null,,38,22,10,0,0,268,1,0,0,0,0,2,0
270,5,embora 25 março pude fazer refeição tranquilamente,,151,41,41,7,0,84,0,0,0,0,0,11,0
270,5,null,,12,6,8,0,0,143,0,0,0,0,0,0,0
270,3,loja pequena apertada atendentes pouco cordiais lanche diminuiu tamanho físico aumentou preço menos eua brasil q tá faltando,,113,4,7,0,0,534,54,0,0,0,111,14,0
270,4,null,,44,78,27,3,0,145,0,0,0,0,6,0,0
270,5,ótima faltou ar condicionado,,3,3,0,0,0,6,0,0,0,0,0,0,1
270,1,banheiro nojento sujo condições uso lanche todo desmontado frio lanche filha pediu cebola pickles mandaram cebola pickles lugar lotado espaço sentarnos,,1,0,0,0,0,6,0,0,0,0,0,0,1
270,1,limpeza precária atendimento péssimo banheiros quebrados nunca visto loja mc tão feia precária,,80,8,15,0,0,180,1,0,0,0,2,3,0
270,5,null,,0,17,0,0,0,621,0,0,0,0,0,0,0
270,5,lugar limpissimo atendimento nota 10,,9,0,0,0,0,146,0,0,0,0,0,0,0
270,5,lanche rápido saboroso,,91,52,37,0,0,475,1,0,2,0,0,0,0
270,5,null,,29,8,0,0,0,318,0,0,0,0,0,0,0
270,4,cheio,,296,25,6,0,0,3572,1,0,1,0,0,10,0
270,1,péssimo atendimento,,158,69,16,0,0,559,1,0,0,0,0,5,0
270,5,null,,3,198,1,0,0,40,0,0,1,0,0,3,0
270,5,null,,7,29,1,0,0,77,0,0,0,0,0,0,0
270,5,null,,16,43,14,0,0,399,1,0,0,0,0,0,0
270,4,null,,2,9,7,0,0,51,0,0,0,0,0,0,0
270,5,null,,15,27,2,2,0,16,0,0,0,0,0,0,0
270,5,null,,2,6,0,0,0,14,0,0,0,0,0,1,1
270,4,boa,,31,0,0,0,0,142,0,0,0,0,0,0,0
270,4,null,,31,108,29,2,0,345,0,0,0,0,1,5,0
270,5,null,,5,1,0,0,0,3,0,0,0,0,0,0,1
300,5,local cheio porém lanches bem montados organizados,,250,490,1005,11,2,4031,1,0,0,0,33,401,0
300,5,null,,0,6,0,0,0,0,0,0,0,0,0,0,1
300,5,null,,0,1,0,0,0,20,0,0,0,0,0,0,1
300,5,null,,32,22,20,0,0,83,0,0,0,0,0,0,0
300,5,null,,13,27,27,1,0,26,4,0,1,0,0,0,0
300,5,null,,0,3,0,0,0,12,0,0,0,0,0,0,1
300,5,null,,31,290,93,6,0,128,0,0,0,0,20,13,0
300,4,null,,0,1,0,0,0,26,0,0,0,0,0,0,1
300,4,muita agitação más lanche bom sempre,,384,12,219,8,0,2427,70,0,1,0,49,87,0
300,5,null,,3,6,0,0,0,8,0,0,0,0,0,0,1
300,5,comida fresquinha,,144,31,163,10,0,753,1,0,2,0,8,10,0
300,1,banheiros nojentos vi viagem carro vi estrada vi precisei usar banheiro,,39,26,32,0,0,357,1,0,0,0,4,1,0
300,5,gostei aconchegante,,5,2,0,0,0,16,0,0,0,0,0,0,1
300,2,demorado desorganizado banheiro extremamente sujo imundo,,67,24,9,0,0,801,4,0,0,0,14,4,0
300,5,null,,0,10,0,0,0,59,0,0,0,0,0,0,1
300,1,horrível funcionários perdidos demora pedido entrega lanches errados pedidos token sendo muitas pessoas sabem usar alguém auxiliar pq toda hora mudam função culpa nunca equipe,,1,0,0,0,0,2,1,0,0,0,0,0,0
300,4,lotado,,5,0,0,0,0,10,0,0,0,0,0,0,1
300,3,dia cheio difícil encontrar lugar sentar,,159,37,2,0,0,116,0,0,1,0,1,4,0
300,5,apesar cheio fluxo alto clientes bom ambiente entrada acessibilidade rapidez atendimento retirada pedido,,39,6,1,0,0,572,0,0,0,0,0,13,0
300,4,lanche quente deveria pouco molho,,154,32,9,3,0,1981,4,0,0,0,15,56,0
300,5,ótimo atendimento,,9,3,0,0,0,96,0,0,0,0,0,0,0
300,4,acredito devido grande movimentação 25 março falta profissionais pra trabalharo ambiente fica sujo banheiros sempre interditados,,82,15,24,2,0,351,0,0,0,0,1,13,0
300,2,muitoooooo demorado atendimento ruim muda mac todos vou pior,,164,26,448,40,1,1248,0,0,0,0,1,5,0
300,4,null,,1,30,0,0,0,142,0,0,0,0,1,0,0
300,3,null,,19,100,143,1,0,339,0,0,0,0,0,1,0
300,4,null,,19,5,32,1,0,55,0,0,0,0,0,1,0
300,3,null,,1,7,0,0,0,198,0,0,0,0,0,0,0
300,4,mesas cadeiras sujas muita demora atendimento,,9,39,0,0,0,35,0,0,0,0,2,0,0
300,2,atendimento péssimo madrugada,,3,21,54,0,0,23,0,0,0,0,1,0,0
300,1,banheiro sempre sujo sempre fedendo papel higiênico sabão pra lavar mãos única estrela pro lanche,,42,8,4,0,0,41,0,0,0,0,0,0,0
300,4,sei mundo tecnológico aí fico pensando senhora experiência querendo comprar lanche caixatem somente toten enorme sabe mexer achei ambiente sujo água,,45,6,11,0,0,538,0,0,0,0,0,0,0
300,4,null,,4,18,6,0,0,67,0,0,0,0,0,0,0
300,1,null,,7,6,0,0,0,92,2,0,0,0,0,0,0
300,4,null,,141,127,54,0,0,1105,0,0,0,0,1,1,0
300,4,null,,5,52,6,0,0,511,0,0,0,0,1,1,0
330,4,vezes costumam faltar ingredientes porém bom lugar,,29,8,3,0,0,341,3,1,0,0,0,0,0
330,5,null,,20,105,85,0,0,48,5,0,1,0,0,3,0
330,3,fiz pedido app retirar demoraram 25 minutos entregarem lanche frio pias haviam papel enxugar mão mesas devido entendo fluxo depessoas tão próximo 25 março sujas chão molhado alguns pontos achei bem ruim,,58,20,1,0,0,94,0,0,0,0,2,8,0
330,1,calor ar condicionado desligado clientes quase fritando lá dentro,,30,32,137,1,0,96,0,0,0,0,0,1,0
330,5,null,,6,6,0,0,0,5,0,0,0,0,1,0,1
330,5,poderia melhor,,65,2,0,0,0,77,1,0,0,0,7,2,0
330,4,null,,0,4,0,0,0,28,0,0,0,0,2,0,1
330,5,null,,77,61,3,0,0,113,0,0,1,0,0,3,0
330,2,null,,11,104,0,0,0,28,0,0,0,0,0,0,0
