tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,Previsao_Fraude_RF
uma semana atrás,4,,True,7,132,6,0,0,1127,0,0,0,0,13,0,0
2 semanas atrás,5,,True,19,170,23,0,0,284,4,0,0,0,0,1,0
2 semanas atrás,4,"Comido boa, embora nada incrível. Preço ok pela região. Atendimento ruim, muito demorado e confuso",True,42,60,55,1,0,388,3,0,0,0,1,1,0
um mês atrás,5,"Excelente atendimento,  comida extremamente saborosa, preço justo!!! Sou assídua!!!",True,15,13,2,0,0,42,0,0,0,0,0,0,0
um mês atrás,5,,True,8,47,0,0,0,317,1,0,4,0,0,0,0
um mês atrás,4,"Bom restaurante português, com o menu executivo bem legal e também a equipe de atendimento muito atenciosa. sobremesas são um grande diferencial, com o carro chefe sendo o cannoli.",True,100,7,177,7,1,528,0,0,0,0,0,0,0
um mês atrás,5,,True,3,22,0,0,0,29,0,0,0,0,0,0,0
um mês atrás,5,Comida excepcional!,True,3,20,0,0,0,32,0,0,0,0,0,0,0
um mês atrás,5,"Super recomendo fomos recebidos pelo casal, ela uma doceira de mão cheia e ele um chef português com o melhor da culinária portuguesa com seus bacalhaus maravilhosos Se for ao bexiga não deixe de provar os melhores canoles artesanais",True,45,60,24,5,1,78,0,0,1,0,0,2,0
um mês atrás,5,Excelente restaurante. Excelente atendimento. Excelente comida.,True,951,138,4149,6,0,4209,1,0,6,0,55,40,0
um mês atrás,1,"O Canoli não é recheado, eles colocam um pouco em cada ponta e é isso. Café ruim também.",True,106,17,11,0,0,195,8,0,1,0,0,0,0
um mês atrás,5,"Ótimo café, doces. Poucos salgados.",True,13,7,0,0,0,118,0,0,0,0,0,0,0
2 meses atrás,5,Ótimo 👍 👍 👍,False,758,96,16383,57,1,9783,30,0,21,0,18,26,0
2 meses atrás,5,,True,181,53,164,0,0,4161,1,0,0,0,17,2,0
2 meses atrás,5,,True,40,73,1,3,0,281,4,0,2,0,0,0,0
2 meses atrás,5,,True,38,528,158,10,4,500,21,0,4,0,11,16,0
2 meses atrás,4,,True,7,7,1,0,0,60,0,0,0,0,0,0,0
3 meses atrás,3,"Apesar do chef ter sido muito simpático e preocupado com a recepção da casa, os rapazes do atendimento eram bem despreparados, achei que falta treinamento. Pelo nome eu esperava por vinhos de qualidade, mas me decepcionei bastante. Comi o bacalhau da nata e tava ok, acompanha salada bem simples e arroz branco. Deixei a sugestão de colocarem um ponto pra estacionar bike, já que a ciclofaixa da 13 de maio permite o trajeto até lá, porém o bairro não oferece nenhum local para deixar as bikes em segurança.",True,24,0,7,0,0,35,1,0,0,0,0,0,0
3 meses atrás,5,Atendimento rápido e comida boa. O tiramisu é um dos melhores que já comi.,True,77,97,0,0,0,206,0,0,0,0,13,0,0
3 meses atrás,5,"Restaurante Italiano/Português na região do Bixiga. Ótima experiência, pedi o bacalhau com natas, o carro chefe do local, estava excelente, além da sangria, muito gostosa. De sobremesa, Tiramisu e cannoli de baunilha, tudo perfeito.",True,131,4,699,4,1,109,4,0,0,0,0,4,0
